mpc_step,admm_iter,k,n_c,lam_n_EE-BOX,lam_t_norm_EE-BOX,gamma_EE-BOX,lam_n_T-VERT-0,lam_t_norm_T-VERT-0,gamma_T-VERT-0,lam_n_T-VERT-1,lam_t_norm_T-VERT-1,gamma_T-VERT-1,lam_n_T-VERT-2,lam_t_norm_T-VERT-2,gamma_T-VERT-2
0,4,3,4,7.468474,0.754429,0.000000,3.773663,4.229796,0.000000,8.156755,9.454395,0.000000,5.853103,4.779959,0.000000
0,4,4,4,7.168047,1.064079,-0.000000,7.528912,6.344010,0.000000,13.287928,14.914396,0.000000,9.718499,7.874658,-0.000000
0,4,5,4,6.998180,1.113563,0.000000,9.350744,7.917514,-0.000000,16.010463,18.110082,-0.000000,11.767228,9.717845,-0.000000
0,4,6,4,6.903729,1.208995,-0.000000,10.172134,8.069202,0.000000,17.793927,20.550833,0.000000,13.280543,11.211614,-0.000000
0,4,7,4,6.647780,1.538480,0.000000,10.665099,7.058635,0.000000,18.858961,21.335705,0.000000,14.750480,12.455959,0.000000
0,4,8,4,6.236344,1.566281,0.000000,10.299454,2.028658,-0.000000,17.724492,20.038356,0.000000,15.527879,14.885405,0.000000
0,4,9,4,5.609440,1.606365,0.000000,9.464817,0.000000,0.000000,15.058033,16.827261,0.000000,14.223899,14.216668,0.000000
0,4,10,4,5.261156,1.656616,0.000000,5.062763,0.113209,-0.000000,10.253955,11.462841,0.000000,9.481379,8.942228,0.000000
0,4,11,4,4.830983,1.391148,-0.000000,-0.000000,0.583285,0.000000,3.148058,3.304044,0.000000,2.341294,2.075535,0.000000
0,4,12,4,3.991624,0.757242,0.000000,-0.000000,1.490562,0.145494,-0.000000,0.087270,0.084774,0.000000,0.000000,0.068864
0,4,13,4,3.556437,0.825686,-0.000000,-0.000000,2.140592,0.302031,-0.000000,0.000000,0.367258,0.000000,0.000000,0.084132
0,4,14,4,3.410385,0.934437,0.000000,-0.000000,2.390116,0.392579,-0.000000,0.000000,0.486884,0.000000,0.000000,0.042417
0,4,15,4,3.273668,1.013564,-0.000000,-0.000000,2.387484,0.423600,-0.000000,0.000000,0.540607,0.000000,0.000000,0.066012
0,4,16,4,3.087295,1.057764,0.000000,-0.000000,2.281275,0.390223,-0.000000,0.000000,0.543877,0.000000,0.000000,0.093865
0,4,17,4,2.900400,1.105196,-0.000000,-0.000000,2.150584,0.342242,0.000000,0.000000,0.510384,-0.000000,0.000000,0.100169
0,4,18,4,2.745476,1.155829,-0.000000,-0.000000,2.003083,0.301587,0.000000,0.000000,0.453813,-0.000000,0.068156,0.096659
0,4,19,4,2.474474,1.371676,-0.000000,-0.000000,1.907029,0.251887,0.000000,0.178108,0.362609,-0.000000,0.148542,0.123335
0,5,0,4,12.465546,1.870129,0.000000,2.114186,1.521351,0.000000,7.248714,7.396434,0.000001,3.342336,1.766224,0.000000
0,5,1,4,11.632419,1.251515,-0.000000,7.141490,4.501848,-0.000000,12.337909,13.297840,0.000000,7.523053,5.058134,-0.000000
0,5,2,4,11.121132,1.079300,-0.000000,12.958733,8.316392,-0.000000,22.588881,22.411181,0.000000,14.363642,3.633611,-0.000000
0,5,3,4,10.741050,1.046996,0.000000,12.950825,8.672136,-0.000000,23.476067,22.496064,-0.000000,15.161325,4.980142,-0.000000
0,5,4,4,9.540845,0.721164,-0.000000,3.002747,1.493863,-0.000000,11.016677,10.218513,0.000000,7.094768,2.551445,0.000000
0,5,5,4,7.453454,0.309732,0.000000,-0.000000,0.994952,0.372810,0.641338,0.545725,0.043647,-0.000000,0.000000,0.052185
0,5,6,4,6.821360,0.565601,-0.000000,-0.000000,1.509872,1.595446,0.302088,0.381005,0.494388,-0.000000,0.000000,0.440663
0,5,7,4,6.659282,0.833793,0.000000,-0.000000,1.750467,2.001639,0.695206,0.882840,0.551737,0.111676,0.000000,0.604563
0,5,8,4,6.504149,1.032641,-0.000000,-0.000000,2.576463,2.112220,0.668336,0.600895,0.767473,0.122825,0.000000,0.739822
0,5,9,4,5.752094,1.299220,0.000000,-0.000000,2.362431,1.437996,0.470884,0.405109,0.762669,0.166712,0.000000,0.295893
0,5,10,4,5.056758,1.393162,0.000000,-0.000000,1.945789,0.693271,0.783266,0.694214,0.787273,0.394329,0.000000,0.360670
0,5,11,4,4.545447,0.895667,0.000000,-0.000000,0.986496,0.318701,1.014994,1.050979,0.679999,0.452722,0.000000,0.536289
0,5,12,4,4.127996,0.502133,0.000000,-0.000000,1.532124,0.058815,0.015756,0.381416,0.261423,-0.000000,0.023262,0.272639
0,5,13,4,4.965446,0.784140,-0.000000,3.628783,4.885392,0.000000,7.597668,6.446597,-0.000000,4.851053,3.195596,0.000000
0,5,14,4,5.423704,1.031612,0.000000,7.507470,5.403305,-0.000000,13.019744,11.844501,0.000000,9.589701,6.560421,0.000000
0,5,15,4,5.591529,1.001982,-0.000000,8.979695,4.888440,0.000000,15.471989,14.492663,-0.000000,11.856302,8.099598,0.000000
