t,ee_box_depth,ee_box_force_norm,n_pairs
0.225000,0.00000000,0.0000,1
0.226000,0.00000000,0.0000,1
0.227000,0.00000000,0.0000,1
0.228000,0.00000000,0.0000,1
0.229000,0.00000000,0.0000,1
0.230000,0.00000000,0.0000,1
0.230000,0.00000000,0.0000,1
0.231000,0.00000000,0.0000,1
0.232000,0.00000000,0.0000,1
0.233000,0.00000000,0.0000,1
0.234000,0.00000000,0.0000,1
0.234375,0.00000000,0.0000,1
0.235000,0.00000000,0.0000,1
0.236000,0.00000000,0.0000,1
0.237000,0.00000000,0.0000,1
0.238000,0.00000000,0.0000,1
0.239000,0.00000000,0.0000,1
0.240000,0.00000000,0.0000,1
0.240000,0.00000000,0.0000,1
0.241000,0.00000000,0.0000,1
0.242000,0.00000000,0.0000,1
0.243000,0.00000000,0.0000,1
0.244000,0.00000000,0.0000,1
0.245000,0.00000000,0.0000,1
0.246000,0.00000000,0.0000,1
0.247000,0.00000000,0.0000,1
0.248000,0.00000000,0.0000,1
0.249000,0.00000000,0.0000,1
0.250000,0.00000000,0.0000,1
0.250000,0.00000000,0.0000,1
0.251000,0.00000000,0.0000,1
0.252000,0.00000000,0.0000,1
0.253000,0.00000000,0.0000,1
0.254000,0.00000000,0.0000,1
0.255000,0.00000000,0.0000,1
0.256000,0.00000000,0.0000,1
0.257000,0.00000000,0.0000,1
0.258000,0.00000000,0.0000,1
0.259000,0.00000000,0.0000,1
0.260000,0.00000000,0.0000,1
0.260000,0.00000000,0.0000,1
0.261000,0.00000000,0.0000,1
0.262000,0.00000000,0.0000,1
0.263000,0.00000000,0.0000,1
0.264000,0.00000000,0.0000,1
0.265000,0.00000000,0.0000,1
0.265625,0.00000000,0.0000,1
0.266000,0.00000000,0.0000,1
0.267000,0.00000000,0.0000,1
0.268000,0.00000000,0.0000,1
0.269000,0.00000000,0.0000,1
0.270000,0.00000000,0.0000,1
0.270000,0.00000000,0.0000,1
0.271000,0.00000000,0.0000,1
0.272000,0.00000000,0.0000,1
0.273000,0.00000000,0.0000,1
0.274000,0.00000000,0.0000,1
0.275000,0.00000000,0.0000,1
0.276000,0.00000000,0.0000,1
0.277000,0.00000000,0.0000,1
0.278000,0.00000000,0.0000,1
0.279000,0.00000000,0.0000,1
0.280000,0.00000000,0.0000,1
0.280000,0.00000000,0.0000,1
0.281000,0.00000000,0.0000,1
0.281250,0.00000000,0.0000,1
0.282000,0.00000000,0.0000,1
0.283000,0.00000000,0.0000,1
0.284000,0.00000000,0.0000,1
0.285000,0.00000000,0.0000,1
0.286000,0.00000000,0.0000,1
0.287000,0.00000000,0.0000,1
0.288000,0.00000000,0.0000,1
0.289000,0.00000000,0.0000,1
0.290000,0.00000000,0.0000,1
0.290000,0.00000000,0.0000,1
0.291000,0.00000000,0.0000,1
0.292000,0.00000000,0.0000,1
0.293000,0.00000000,0.0000,1
0.294000,0.00000000,0.0000,1
0.295000,0.00000000,0.0000,1
0.296000,0.00000000,0.0000,1
0.296875,0.00000000,0.0000,1
0.297000,0.00000000,0.0000,1
0.298000,0.00000000,0.0000,1
0.299000,0.00000000,0.0000,1
0.300000,0.00000000,0.0000,1
0.300000,0.00000000,0.0000,1
0.301000,0.00000000,0.0000,1
0.302000,0.00000000,0.0000,1
0.303000,0.00000000,0.0000,1
0.304000,0.00000000,0.0000,1
0.305000,0.00000000,0.0000,1
0.306000,0.00000000,0.0000,1
0.307000,0.00000000,0.0000,1
0.308000,0.00000000,0.0000,1
0.309000,0.00000000,0.0000,1
0.310000,0.00000000,0.0000,1
0.310000,0.00000000,0.0000,1
0.311000,0.00000000,0.0000,1
0.312000,0.00000000,0.0000,1
0.312500,0.00000000,0.0000,1
0.313000,0.00000000,0.0000,1
0.314000,0.00000000,0.0000,1
0.315000,0.00000000,0.0000,1
0.316000,0.00000000,0.0000,1
0.317000,0.00000000,0.0000,1
0.318000,0.00000000,0.0000,1
0.319000,0.00000000,0.0000,1
0.320000,0.00000000,0.0000,1
0.320000,0.00000000,0.0000,1
0.321000,0.00000000,0.0000,1
0.322000,0.00000000,0.0000,1
0.323000,0.00000000,0.0000,1
0.324000,0.00000000,0.0000,1
0.325000,0.00000000,0.0000,1
0.326000,0.00000000,0.0000,1
0.327000,0.00000000,0.0000,1
0.328000,0.00000000,0.0000,1
0.328125,0.00000000,0.0000,1
0.329000,0.00000000,0.0000,1
0.330000,0.00000000,0.0000,1
0.330000,0.00000000,0.0000,1
0.331000,0.00000000,0.0000,1
0.332000,0.00000000,0.0000,1
0.333000,0.00000000,0.0000,1
0.334000,0.00000000,0.0000,1
0.335000,0.00000000,0.0000,1
0.336000,0.00000000,0.0000,1
0.337000,0.00000000,0.0000,1
0.338000,0.00000000,0.0000,1
0.339000,0.00000000,0.0000,1
0.340000,0.00000000,0.0000,1
0.340000,0.00000000,0.0000,1
0.341000,0.00000000,0.0000,1
0.342000,0.00000000,0.0000,1
0.343000,0.00000000,0.0000,1
0.343750,0.00000000,0.0000,1
0.344000,0.00000000,0.0000,1
0.345000,0.00000000,0.0000,1
0.346000,0.00000000,0.0000,1
0.347000,0.00000000,0.0000,1
0.348000,0.00000000,0.0000,1
0.349000,0.00000000,0.0000,1
0.350000,0.00000000,0.0000,1
0.350000,0.00000000,0.0000,1
0.351000,0.00000000,0.0000,1
0.352000,0.00000000,0.0000,1
0.353000,0.00000000,0.0000,1
0.354000,0.00000000,0.0000,1
0.355000,0.00000000,0.0000,1
0.356000,0.00000000,0.0000,1
0.357000,0.00000000,0.0000,1
0.358000,0.00000000,0.0000,1
0.359000,0.00000000,0.0000,1
0.359375,0.00000000,0.0000,1
0.360000,0.00000000,0.0000,1
0.360000,0.00000000,0.0000,1
0.361000,0.00000000,0.0000,1
0.362000,0.00000000,0.0000,1
0.363000,0.00000000,0.0000,1
0.364000,0.00000000,0.0000,1
0.365000,0.00000000,0.0000,1
0.366000,0.00000000,0.0000,1
0.367000,0.00000000,0.0000,1
0.368000,0.00000000,0.0000,1
0.369000,0.00000000,0.0000,1
0.370000,0.00000000,0.0000,1
0.370000,0.00000000,0.0000,1
0.371000,0.00000000,0.0000,1
0.372000,0.00000000,0.0000,1
0.373000,0.00000000,0.0000,1
0.374000,0.00000000,0.0000,1
0.375000,0.00000000,0.0000,1
0.376000,0.00000000,0.0000,1
0.377000,0.00000000,0.0000,1
0.378000,0.00000000,0.0000,1
0.379000,0.00000000,0.0000,1
0.380000,0.00000000,0.0000,1
0.380000,0.00000000,0.0000,1
0.381000,0.00000000,0.0000,1
0.382000,0.00000000,0.0000,1
0.383000,0.00000000,0.0000,1
0.384000,0.00000000,0.0000,1
0.385000,0.00000000,0.0000,1
0.386000,0.00000000,0.0000,1
0.387000,0.00000000,0.0000,1
0.388000,0.00000000,0.0000,1
0.389000,0.00000000,0.0000,1
0.390000,0.00000000,0.0000,1
0.390000,0.00000000,0.0000,1
0.390625,0.00000000,0.0000,1
0.391000,0.00000000,0.0000,1
0.392000,0.00000000,0.0000,1
0.393000,0.00000000,0.0000,1
0.394000,0.00000000,0.0000,1
0.395000,0.00000000,0.0000,1
0.396000,0.00000000,0.0000,1
0.397000,0.00000000,0.0000,1
0.398000,0.00000000,0.0000,1
0.399000,0.00000000,0.0000,1
0.400000,0.00000000,0.0000,1
0.400000,0.00000000,0.0000,1
0.401000,0.00000000,0.0000,1
0.402000,0.00000000,0.0000,1
0.403000,0.00000000,0.0000,1
0.404000,0.00000000,0.0000,1
0.405000,0.00000000,0.0000,1
0.406000,0.00000000,0.0000,1
0.406250,0.00000000,0.0000,1
0.407000,0.00000000,0.0000,1
0.408000,0.00000000,0.0000,1
0.409000,0.00000000,0.0000,1
0.410000,0.00000000,0.0000,1
0.410000,0.00000000,0.0000,1
0.411000,0.00000000,0.0000,1
0.412000,0.00000000,0.0000,1
0.413000,0.00000000,0.0000,1
0.414000,0.00000000,0.0000,1
0.415000,0.00000000,0.0000,1
0.416000,0.00000000,0.0000,1
0.417000,0.00000000,0.0000,1
0.418000,0.00000000,0.0000,1
0.419000,0.00000000,0.0000,1
0.420000,0.00000000,0.0000,1
0.420000,0.00000000,0.0000,1
0.421000,0.00000000,0.0000,1
0.421875,0.00000000,0.0000,1
0.422000,0.00000000,0.0000,1
0.423000,0.00000000,0.0000,1
0.424000,0.00000000,0.0000,1
0.425000,0.00000000,0.0000,1
0.426000,0.00000000,0.0000,1
0.427000,0.00000000,0.0000,1
0.428000,0.00000000,0.0000,1
0.429000,0.00000000,0.0000,1
0.430000,0.00000000,0.0000,1
0.430000,0.00000000,0.0000,1
0.431000,0.00000000,0.0000,1
0.432000,0.00000000,0.0000,1
0.433000,0.00000000,0.0000,1
0.434000,0.00000000,0.0000,1
0.435000,0.00000000,0.0000,1
0.436000,0.00000000,0.0000,1
0.437000,0.00000000,0.0000,1
0.437500,0.00000000,0.0000,1
0.438000,0.00000000,0.0000,1
0.439000,0.00000000,0.0000,1
0.440000,0.00000000,0.0000,1
0.440000,0.00000000,0.0000,1
0.441000,0.00000000,0.0000,1
0.442000,0.00000000,0.0000,1
0.443000,0.00000000,0.0000,1
0.444000,0.00000000,0.0000,1
0.445000,0.00000000,0.0000,1
0.446000,0.00000000,0.0000,1
0.447000,0.00000000,0.0000,1
0.448000,0.00000000,0.0000,1
0.449000,0.00000000,0.0000,1
0.450000,0.00000000,0.0000,1
0.450000,0.00000000,0.0000,1
0.451000,0.00000000,0.0000,1
0.452000,0.00000000,0.0000,1
0.453000,0.00000000,0.0000,1
0.453125,0.00000000,0.0000,1
0.454000,0.00000000,0.0000,1
0.455000,0.00000000,0.0000,1
0.456000,0.00000000,0.0000,1
0.457000,0.00000000,0.0000,1
0.458000,0.00000000,0.0000,1
0.459000,0.00000000,0.0000,1
0.460000,0.00000000,0.0000,1
0.460000,0.00000000,0.0000,1
0.461000,0.00000000,0.0000,1
0.462000,0.00000000,0.0000,1
0.463000,0.00000000,0.0000,1
0.464000,0.00000000,0.0000,1
0.465000,0.00000000,0.0000,1
0.466000,0.00000000,0.0000,1
0.467000,0.00000000,0.0000,1
0.468000,0.00000000,0.0000,1
0.468750,0.00000000,0.0000,1
0.469000,0.00000000,0.0000,1
0.470000,0.00000000,0.0000,1
0.470000,0.00000000,0.0000,1
0.471000,0.00000000,0.0000,1
0.472000,0.00000000,0.0000,1
0.473000,0.00000000,0.0000,1
0.474000,0.00000000,0.0000,1
0.475000,0.00000000,0.0000,1
0.476000,0.00000000,0.0000,1
0.477000,0.00000000,0.0000,1
0.478000,0.00000000,0.0000,1
0.479000,0.00000000,0.0000,1
0.480000,0.00000000,0.0000,1
0.480000,0.00000000,0.0000,1
0.481000,0.00000000,0.0000,1
0.482000,0.00000000,0.0000,1
0.483000,0.00000000,0.0000,1
0.484000,0.00000000,0.0000,1
0.484375,0.00000000,0.0000,1
0.485000,0.00000000,0.0000,1
0.486000,0.00000000,0.0000,1
0.487000,0.00000000,0.0000,1
0.488000,0.00000000,0.0000,1
0.489000,0.00000000,0.0000,1
0.490000,0.00000000,0.0000,1
0.490000,0.00000000,0.0000,1
0.491000,0.00000000,0.0000,1
0.492000,0.00000000,0.0000,1
0.493000,0.00000000,0.0000,1
0.494000,0.00000000,0.0000,1
0.495000,0.00000000,0.0000,1
0.496000,0.00000000,0.0000,1
0.497000,0.00000000,0.0000,1
0.498000,0.00000000,0.0000,1
0.499000,0.00000000,0.0000,1
0.500000,0.00000000,0.0000,1
0.500000,0.00000000,0.0000,1
0.501000,0.00000000,0.0000,1
0.502000,0.00000000,0.0000,1
0.503000,0.00000000,0.0000,1
0.504000,0.00000000,0.0000,1
0.505000,0.00000000,0.0000,1
0.506000,0.00000000,0.0000,1
0.507000,0.00000000,0.0000,1
0.508000,0.00000000,0.0000,1
0.509000,0.00000000,0.0000,1
0.510000,0.00000000,0.0000,1
0.510000,0.00000000,0.0000,1
0.511000,0.00000000,0.0000,1
0.512000,0.00000000,0.0000,1
0.513000,0.00000000,0.0000,1
0.514000,0.00000000,0.0000,1
0.515000,0.00000000,0.0000,1
0.515625,0.00000000,0.0000,1
0.516000,0.00000000,0.0000,1
0.517000,0.00000000,0.0000,1
0.518000,0.00000000,0.0000,1
0.519000,0.00000000,0.0000,1
0.520000,0.00000000,0.0000,1
0.520000,0.00000000,0.0000,1
0.521000,0.00000000,0.0000,1
0.522000,0.00000000,0.0000,1
0.523000,0.00000000,0.0000,1
0.524000,0.00000000,0.0000,1
0.525000,0.00000000,0.0000,1
0.526000,0.00000000,0.0000,1
0.527000,0.00000000,0.0000,1
0.528000,0.00000000,0.0000,1
0.529000,0.00000000,0.0000,1
0.530000,0.00000000,0.0000,1
0.530000,0.00000000,0.0000,1
0.531000,0.00000000,0.0000,1
0.531250,0.00000000,0.0000,1
0.532000,0.00000000,0.0000,1
0.533000,0.00000000,0.0000,1
0.534000,0.00000000,0.0000,1
0.535000,0.00000000,0.0000,1
0.536000,0.00000000,0.0000,1
0.537000,0.00000000,0.0000,1
0.538000,0.00000000,0.0000,1
0.539000,0.00000000,0.0000,1
