235 +0.10435 90.27
236 +0.10038 90.26
237 +0.09640 90.27
238 +0.09243 90.27
239 +0.08845 90.27
240 +0.08447 90.26
241 +0.08048 90.26
242 +0.07650 90.27
243 +0.07251 90.27
244 +0.06853 90.27
245 +0.06458 90.26
246 +0.06078 90.27
247 +0.05721 90.27
248 +0.05391 90.27
249 +0.05092 90.27
250 +0.04823 90.27
251 +0.04584 90.27
252 +0.04372 90.27
253 +0.04187 90.28
254 +0.04025 90.27
255 +0.03884 90.28
256 +0.03762 90.26
257 +0.03657 90.28
258 +0.03566 90.27
259 +0.03489 90.26
260 +0.03423 90.27
261 +0.03372 90.27
262 +0.03344 90.27
263 +0.03322 90.27
264 +0.03304 90.27
265 +0.03299 90.27
266 +0.03306 90.28
267 +0.03323 90.26
268 +0.03350 90.26
269 +0.03390 90.26
270 +0.03442 90.26
271 +0.03490 90.29
272 +0.03534 90.21
273 +0.03590 90.25
274 +0.03666 90.14
275 +0.03767 90.27
276 +0.03891 90.28
277 +0.04045 90.28
278 +0.04225 90.28
279 +0.04433 90.28
280 +0.04670 90.15
281 +0.04934 90.00
282 +0.05228 90.33
283 +0.05552 90.38
284 +0.05897 90.36
285 +0.06258 90.29
286 +0.06644 90.30
287 +0.06970 90.29
288 +0.07187 90.30
289 +0.07341 90.29
290 +0.07463 90.29
291 +0.07576 90.29
292 +0.07692 90.28
293 +0.07823 90.28
294 +0.07971 90.24
295 +0.08141 90.29
296 +0.08334 90.27
297 +0.08549 90.25
298 +0.08784 90.27
299 +0.09039 90.24
300 +0.09312 90.30
301 +0.09601 90.30
302 +0.09910 90.30
303 +0.10171 90.30
304 +0.10398 90.29
305 +0.10642 90.29
306 +0.10894 90.30
307 +0.11106 90.30
308 +0.11255 90.29
309 +0.11368 90.30
310 +0.11469 90.30
311 +0.11573 90.29
312 +0.11690 90.31
313 +0.11827 90.30
314 +0.11986 90.30
315 +0.12169 90.30
316 +0.12375 90.30
317 +0.12594 90.59
318 +0.12813 90.53
319 +0.13016 90.31
320 +0.13186 90.31
321 +0.13314 90.30
322 +0.13398 90.30
323 +0.13435 90.30
324 +0.13426 90.31
325 +0.13373 90.30
326 +0.13279 90.30
327 +0.13148 90.31
328 +0.12982 90.31
329 +0.12786 90.30
330 +0.12562 90.30
331 +0.12314 90.30
332 +0.12045 90.31
333 +0.11758 90.31
334 +0.11454 90.29
335 +0.11136 90.30
336 +0.10806 90.30
337 +0.10465 90.28
338 +0.10119 90.32
339 +0.09850 90.31
340 +0.09710 90.30
341 +0.09673 90.28
342 +0.09716 90.31
343 +0.09824 90.30
344 +0.09959 90.29
345 +0.10100 90.30
346 +0.10247 90.31
347 +0.10376 90.30
348 +0.10475 90.31
349 +0.10561 90.30
350 +0.10650 90.31
351 +0.10751 90.31
352 +0.10871 90.31
353 +0.11014 90.31
354 +0.11180 90.30
355 +0.11370 90.30
356 +0.11582 90.31
357 +0.11817 90.30
358 +0.12072 90.30
359 +0.12337 90.30
360 +0.12602 90.30
361 +0.12858 90.31
362 +0.13099 90.31
363 +0.13321 90.31
364 +0.13524 90.31
365 +0.13707 90.31
366 +0.13870 90.31
367 +0.14014 90.31
368 +0.14140 90.30
369 +0.14249 90.29
370 +0.14344 90.31
371 +0.14425 90.31
372 +0.14494 90.30
373 +0.14553 90.30
374 +0.14602 90.31
375 +0.14644 90.30
376 +0.14679 90.30
377 +0.14709 90.30
378 +0.14724 90.31
379 +0.14724 90.30
380 +0.14716 90.31
381 +0.14706 90.30
382 +0.14694 90.31
383 +0.14684 90.30
384 +0.14677 90.31
385 +0.14671 90.31
386 +0.14668 90.30
387 +0.14666 90.32
388 +0.14667 90.30
389 +0.14668 90.31
390 +0.14671 90.30
391 +0.14674 90.30
392 +0.14678 90.30
393 +0.14682 90.30
394 +0.14687 90.30
395 +0.14691 90.31
396 +0.14687 90.31
397 +0.14664 90.30
398 +0.14615 90.30
399 +0.14538 90.31
400 +0.14431 90.31
401 +0.14294 90.31
402 +0.14129 90.31
403 +0.13935 90.31
404 +0.13717 90.30
405 +0.13475 90.31
406 +0.13212 90.31
407 +0.12930 90.31
408 +0.12632 90.30
409 +0.12319 90.30
410 +0.11993 90.31
411 +0.11656 90.30
412 +0.11310 90.31
413 +0.10955 90.31
414 +0.10593 90.30
415 +0.10225 90.31
416 +0.09852 90.31
417 +0.09474 90.30
418 +0.09093 90.31
419 +0.08709 90.31
420 +0.08322 90.30
421 +0.07933 90.31
422 +0.07542 90.30
423 +0.07150 90.30
