step,pr,dr,tol
965,4.9359,80.3185,1e-03
968,4.9359,80.3185,1e-03
971,4.9359,80.3185,1e-03
974,4.9359,80.3185,1e-03
977,4.9359,80.3185,1e-03
980,4.9359,80.3185,1e-03
983,3.8743,83.4149,1e-03
986,3.8743,83.4149,1e-03
989,3.8743,83.4149,1e-03
992,3.8743,83.4149,1e-03
995,3.8743,83.4149,1e-03
998,3.8743,83.4149,1e-03
1001,3.8743,83.4149,1e-03
1004,3.8743,83.4149,1e-03
1007,3.8743,83.4148,1e-03
1010,3.8743,83.4149,1e-03
1013,3.8743,83.4149,1e-03
1016,3.8743,83.4149,1e-03
1019,3.8743,83.4149,1e-03
1022,3.8743,83.4149,1e-03
1025,3.8743,83.4149,1e-03
1028,3.8743,83.4149,1e-03
1031,3.8744,83.4151,1e-03
1034,3.8743,83.4147,1e-03
1037,3.8743,83.4148,1e-03
1040,3.8744,83.415,1e-03
1043,3.8744,83.415,1e-03
1046,3.8744,83.415,1e-03
1049,3.8744,83.415,1e-03
1052,3.8744,83.4153,1e-03
1055,3.8744,83.415,1e-03
1058,3.8742,83.4389,1e-03
1061,3.8744,83.4151,1e-03
1064,3.8722,83.3925,1e-03
1067,3.8744,83.4151,1e-03
1070,3.8743,83.4149,1e-03
1073,3.8743,83.4149,1e-03
1076,3.8743,83.4143,1e-03
1079,3.8743,83.4149,1e-03
1082,3.8743,83.4149,1e-03
1085,3.8743,83.4149,1e-03
1088,3.8743,83.4148,1e-03
1091,3.8743,83.4148,1e-03
1094,3.8743,83.4149,1e-03
1097,3.8743,83.4149,1e-03
1100,3.8743,83.4148,1e-03
1103,3.8743,83.4148,1e-03
1106,3.8743,83.4148,1e-03
1109,3.8743,83.4148,1e-03
1112,3.8743,83.4149,1e-03
1115,3.8743,83.4149,1e-03
1118,3.8743,83.4148,1e-03
1121,3.8743,83.4148,1e-03
1124,3.8743,83.4148,1e-03
1127,3.8743,83.4148,1e-03
1130,3.8743,83.4148,1e-03
1133,3.8743,83.4148,1e-03
1136,3.8743,83.4148,1e-03
1139,3.8743,83.4148,1e-03
1142,3.8743,83.4148,1e-03
1145,3.8743,83.4148,1e-03
1148,3.8743,83.4148,1e-03
1151,3.8743,83.4148,1e-03
1154,3.8743,83.4148,1e-03
1157,3.8743,83.4147,1e-03
1160,3.8743,83.4148,1e-03
1163,3.8743,83.4148,1e-03
1166,3.8743,83.4147,1e-03
1169,3.8743,83.4147,1e-03
1172,3.8743,83.4147,1e-03
1173,3.8743,83.4147,1e-03
1178,3.8743,83.4147,1e-03
1179,3.8743,83.4147,1e-03
1184,3.8743,83.4147,1e-03
1185,3.8743,83.4147,1e-03
1190,3.8743,83.4146,1e-03
1191,3.8743,83.4146,1e-03
1196,3.8743,83.4146,1e-03
1197,3.8743,83.4146,1e-03
1202,3.8743,83.4146,1e-03
1203,3.8743,83.4146,1e-03
1208,3.8743,83.4146,1e-03
1209,3.8743,83.4146,1e-03
1214,4.9344,81.3472,1e-03
1215,4.9344,81.3475,1e-03
1220,3.8679,83.2948,1e-03
1221,3.8679,83.2948,1e-03
1226,7.9723,221.0114,1e-03
1227,7.9724,221.0117,1e-03
1232,4.9305,76.414,1e-03
1233,4.9305,76.414,1e-03
1238,4.9334,80.4013,1e-03
1239,4.9334,80.4013,1e-03
1244,3.868,83.3037,1e-03
1245,3.868,83.3037,1e-03
1250,3.8689,83.313,1e-03
1251,3.8689,83.313,1e-03
1256,4.9326,80.4553,1e-03
1257,4.9325,80.4555,1e-03
1262,4.9289,76.6899,1e-03
1263,4.9289,76.6902,1e-03
1268,3.8699,83.389,1e-03
1269,3.8699,83.389,1e-03
1274,3.8655,83.1817,1e-03
1275,3.8655,83.1817,1e-03
1280,6.0413,139.5987,1e-03
1281,14.5107,395.4546,1e-03
1286,8.0012,182.1287,1e-03
1287,7.5009,224.3353,1e-03
1292,6.2359,166.7652,1e-03
1293,13.0822,370.8266,1e-03
1298,8.2931,258.4227,1e-03
1299,10.4254,250.3352,1e-03
1304,5.5687,94.9624,1e-03
1305,15.3762,438.1271,1e-03
1310,6.7827,177.1392,1e-03
1311,7.8326,252.7028,1e-03
1316,13.3221,390.1804,1e-03
1317,5.2708,69.7662,1e-03
1322,13.9163,423.5503,1e-03
1323,13.8182,383.8489,1e-03
1328,14.7884,445.8728,1e-03
1329,10.9838,529.4985,1e-03
1334,11.8682,574.1084,1e-03
1335,13.1006,608.3639,1e-03
1340,7.5885,305.8597,1e-03
1341,7.5012,209.7536,1e-03
1346,7.6619,304.6327,1e-03
1347,7.1584,277.3311,1e-03
1352,11.3317,531.6265,1e-03
1353,8.2182,264.9576,1e-03
1358,12.34,532.3722,1e-03
1359,8.3676,355.7926,1e-03
1364,11.029,518.4251,1e-03
1365,12.6813,386.3953,1e-03
1370,12.5425,562.3008,1e-03
1371,16.555,681.4175,1e-03
1376,5.7059,162.3041,1e-03
1377,10.2761,287.2919,1e-03
1382,9.3469,339.9967,1e-03
1383,12.8538,512.687,1e-03
1388,9.4736,315.346,1e-03
1389,12.9069,587.3937,1e-03
1394,11.0066,521.2186,1e-03
1395,11.9161,556.0443,1e-03
1400,9.3846,369.6273,1e-03
1401,16.5376,723.863,1e-03
1406,9.9556,384.6607,1e-03
1407,15.8738,660.7143,1e-03
1412,10.0514,405.6121,1e-03
1413,17.2445,722.1367,1e-03
1418,7.9571,316.0953,1e-03
1419,8.3524,324.6686,1e-03
1424,10.8883,511.01,1e-03
1425,11.7982,365.1773,1e-03
1430,9.1586,340.2476,1e-03
1431,9.4418,398.148,1e-03
1436,9.4025,343.2772,1e-03
1437,7.5477,221.1847,1e-03
1442,8.4324,341.4297,1e-03
1443,12.4273,502.2024,1e-03
1448,13.2242,497.2908,1e-03
1449,8.9119,321.4198,1e-03
1454,13.565,562.6423,1e-03
1455,16.526,629.5731,1e-03
1460,13.9226,565.2591,1e-03
1461,13.8881,630.9494,1e-03
1466,11.1044,415.6048,1e-03
1467,10.8227,483.9351,1e-03
1472,9.7951,371.2315,1e-03
1473,10.3967,350.2588,1e-03
1478,10.0542,376.3014,1e-03
1479,10.5027,371.8625,1e-03
1484,9.9307,372.4447,1e-03
1485,8.9572,300.7238,1e-03
1490,9.8645,370.2899,1e-03
1491,10.0895,404.7918,1e-03
1496,11.329,514.0759,1e-03
1497,13.1414,533.0834,1e-03
1502,11.3566,480.4033,1e-03
1503,11.5219,488.6734,1e-03
1508,12.5848,563.4865,1e-03
1509,12.6321,546.9892,1e-03
1514,13.0496,518.4959,1e-03
1515,14.2922,593.1689,1e-03
1520,16.9356,586.365,1e-03
1521,15.0795,569.069,1e-03
1526,8.6427,355.8569,1e-03
1527,10.8474,419.7344,1e-03
