step,A_is_ee,F_W_x,F_W_y,F_W_z,F_W_mag,box_x,box_y,box_z,ee_x,ee_y,ee_z
160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04767,-0.079,0.05742
161,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04768,-0.07898,0.05792
162,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0478,-0.07875,0.05849
163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04798,-0.07838,0.0591
164,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0482,-0.07793,0.05974
165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04844,-0.07743,0.06039
166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0487,-0.07689,0.06105
167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04866,-0.07685,0.06151
168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04817,-0.07771,0.06158
169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04774,-0.07858,0.06166
170,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04759,-0.0789,0.06198
171,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04761,-0.07887,0.06245
172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04774,-0.07863,0.063
173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04793,-0.07825,0.06359
174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04816,-0.07778,0.06421
175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04842,-0.07726,0.06483
176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04868,-0.07671,0.06546
177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04866,-0.07666,0.0659
178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04819,-0.07751,0.06595
179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04777,-0.07836,0.06601
180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04763,-0.07867,0.06631
181,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04767,-0.07862,0.06676
182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04781,-0.07837,0.06728
183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04801,-0.07797,0.06785
184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04825,-0.07749,0.06844
185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04852,-0.07696,0.06905
186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.0485,-0.07691,0.06946
187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04805,-0.07776,0.0695
188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04764,-0.07862,0.06953
189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04751,-0.07892,0.06982
190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999,0.04751,-0.07899,0.07061
