step,u0_Nm,lambda_n_max,eta_n_max,primal,iters,iters_max
643,41.95,1.058,1.279,4.936,25,25
648,33.07,1.058,1.279,4.936,25,25
649,41.27,1.058,1.279,4.936,25,25
654,32.69,1.058,1.279,4.936,25,25
655,41.07,1.058,1.279,4.936,25,25
660,32.7,1.058,1.279,4.936,25,25
661,40.33,1.058,1.279,4.936,25,25
666,32.58,1.058,1.279,4.936,25,25
667,40.05,1.059,1.279,4.936,25,25
672,32.63,1.058,1.279,4.936,25,25
673,38.16,0.696,1.377,7.721,25,25
678,35.69,1.072,3.263,9.512,25,25
679,40.05,0.764,1.378,8.043,25,25
684,34.42,0.972,3.017,9.013,25,25
685,43.17,1.058,1.279,4.936,25,25
690,33.82,1.058,1.279,4.936,25,25
691,42.47,1.058,1.279,4.936,25,25
696,33.37,1.058,1.279,4.936,25,25
697,41.3,1.059,1.279,4.936,25,25
702,33.3,1.058,1.279,4.936,25,25
703,41.05,1.058,1.279,4.936,25,25
708,33.01,1.058,1.279,4.936,25,25
709,40.71,1.058,1.279,4.936,25,25
714,33.01,1.058,1.279,4.936,25,25
715,40.39,1.058,1.279,4.936,25,25
720,32.93,1.058,1.279,4.936,25,25
721,40.12,1.058,1.279,4.936,25,25
726,32.96,1.058,1.279,4.936,25,25
727,39.98,1.058,1.279,4.936,25,25
732,32.96,1.058,1.279,4.936,25,25
733,38.1,0.861,1.385,11.688,25,25
738,35.74,0.804,3.166,9.394,25,25
739,39.55,0.852,1.384,11.772,25,25
744,34.55,0.739,3.003,9.078,25,25
745,42.82,1.058,1.279,4.936,25,25
750,34.03,1.058,1.279,4.936,25,25
751,42.15,1.058,1.279,4.936,25,25
756,33.63,1.058,1.279,4.936,25,25
757,41.37,1.058,1.279,4.936,25,25
762,33.58,1.058,1.279,4.936,25,25
763,40.65,1.058,1.279,4.936,25,25
768,33.32,1.058,1.279,4.936,25,25
769,40.38,1.058,1.279,4.936,25,25
774,33.33,1.058,1.279,4.936,25,25
775,40.13,1.058,1.279,4.936,25,25
780,33.26,1.058,1.279,4.936,25,25
781,39.9,1.058,1.279,4.936,25,25
786,33.3,1.058,1.279,4.936,25,25
787,39.71,1.058,1.279,4.936,25,25
792,33.29,1.058,1.279,4.936,25,25
793,37.69,0.92,1.386,8.851,25,25
798,35.8,0.838,3.089,9.118,25,25
799,39.96,0.757,1.4,8.072,25,25
804,34.58,0.804,2.953,9.087,25,25
805,42.56,1.058,1.279,4.936,25,25
810,34.17,1.058,1.279,4.936,25,25
811,41.89,1.058,1.279,4.936,25,25
816,33.87,1.058,1.279,4.936,25,25
817,40.93,1.058,1.279,4.936,25,25
822,33.81,1.058,1.279,4.936,25,25
823,40.3,1.058,1.279,4.936,25,25
828,33.59,1.058,1.279,4.936,25,25
829,40.03,1.058,1.279,4.936,25,25
834,33.6,1.058,1.279,4.936,25,25
835,39.8,1.058,1.279,4.936,25,25
840,33.55,1.058,1.279,4.936,25,25
841,39.75,1.058,1.279,4.936,25,25
846,33.58,1.058,1.279,4.936,25,25
847,39.54,1.058,1.279,4.936,25,25
852,33.58,1.058,1.279,4.936,25,25
853,37.43,0.731,1.394,9.529,25,25
858,35.82,0.952,3.085,9.321,25,25
859,39.78,0.747,1.398,9.798,25,25
864,34.5,0.905,2.946,9.971,25,25
865,41.86,1.058,1.279,4.936,25,25
870,34.26,1.058,1.279,4.936,25,25
871,41.64,1.058,1.279,4.936,25,25
876,34.08,1.058,1.279,4.936,25,25
877,40.8,1.058,1.279,4.936,25,25
882,33.99,1.058,1.279,4.936,25,25
883,40.37,1.058,1.279,4.936,25,25
888,33.83,1.058,1.279,4.936,25,25
889,40.03,1.058,1.279,4.936,25,25
894,33.82,1.058,1.279,4.936,25,25
895,39.81,1.058,1.279,4.936,25,25
900,33.8,1.058,1.279,4.936,25,25
901,39.65,1.058,1.279,4.936,25,25
906,33.82,1.058,1.279,4.936,25,25
907,37.24,0.785,1.401,9.529,25,25
912,35.79,1.007,3.175,11.046,25,25
913,38.96,0.797,1.409,13.01,25,25
918,34.58,0.965,2.872,10.233,25,25
919,42.21,1.058,1.279,4.936,25,25
924,34.31,1.058,1.279,4.936,25,25
925,41.47,1.058,1.279,4.936,25,25
930,34.22,1.058,1.279,4.936,25,25
931,40.71,1.058,1.279,4.936,25,25
936,39.95,1.058,1.279,4.936,25,25
938,39.51,1.058,1.279,4.936,25,25
941,39.24,1.058,1.279,4.936,25,25
944,39.12,1.058,1.279,4.936,25,25
947,39.09,1.058,1.279,4.936,25,25
950,39.05,1.058,1.279,4.936,25,25
953,39.16,1.058,1.279,4.936,25,25
956,39.22,1.058,1.279,4.936,25,25
959,38.99,1.058,1.279,4.936,25,25
962,38.76,1.058,1.279,4.936,25,25
965,38.6,1.058,1.279,4.936,25,25
968,38.47,1.058,1.279,4.936,25,25
971,38.36,1.058,1.279,4.936,25,25
974,38.26,1.058,1.279,4.936,25,25
977,38.16,1.058,1.279,4.936,25,25
980,38.23,1.058,1.279,4.936,25,25
983,38.41,1.058,1.279,4.936,25,25
986,38.56,0.0,0.74,3.874,25,25
989,38.13,0.0,0.74,3.874,25,25
992,37.95,0.0,0.74,3.874,25,25
995,37.42,0.0,0.74,3.874,25,25
998,36.73,0.0,0.74,3.874,25,25
1001,36.18,0.0,0.74,3.874,25,25
1004,35.75,0.0,0.74,3.874,25,25
1007,35.4,0.0,0.74,3.874,25,25
1010,35.09,0.0,0.74,3.874,25,25
1013,34.91,0.0,0.74,3.874,25,25
1016,34.78,0.0,0.74,3.874,25,25
1019,34.68,0.0,0.74,3.874,25,25
1022,34.62,0.0,0.74,3.874,25,25
1025,34.53,0.0,0.74,3.874,25,25
1028,34.16,0.0,0.74,3.874,25,25
1031,33.94,0.0,0.74,3.874,25,25
1034,33.77,0.0,0.74,3.874,25,25
1037,33.88,0.0,0.74,3.874,25,25
1040,34.02,0.0,0.74,3.874,25,25
1043,34.22,0.0,0.74,3.874,25,25
1046,34.39,0.0,0.74,3.874,25,25
1049,34.55,0.0,0.74,3.874,25,25
1052,34.71,0.0,0.74,3.874,25,25
1055,34.88,0.0,0.74,3.874,25,25
1058,35.08,0.0,0.74,3.874,25,25
1061,35.21,0.0,0.74,3.874,25,25
1064,35.42,0.0,0.74,3.874,25,25
1067,35.34,-0.0,0.74,3.872,25,25
1070,35.67,0.0,0.74,3.874,25,25
1073,35.75,0.0,0.74,3.874,25,25
1076,36.54,0.0,0.74,3.874,25,25
1079,37.14,0.0,0.74,3.874,25,25
1082,37.79,0.0,0.74,3.874,25,25
1085,38.56,0.0,0.74,3.874,25,25
1088,39.33,0.0,0.74,3.874,25,25
1091,40.11,0.0,0.74,3.874,25,25
1094,40.77,-0.0,0.74,3.874,25,25
1097,41.39,0.0,0.74,3.874,25,25
1100,41.94,0.0,0.74,3.874,25,25
